classification	sessionId	first_ts	last_ts	n_prompts	feature_score	exclude_score	projects	first_prompt
FEATURE	ecc61c3e-d12d-4fb5-b4bb-282bb06c6ef1	2026-03-05T19:33:31.867000	2026-03-05T20:10:18.839000	8	1	0	<LOCAL_WORKSPACE>	/review https://github.com/promptdriven/pdd_cloud/pull/505
FEATURE	25b28d1b-86c4-4ad8-80e6-339e23b7c968	2026-03-06T11:03:07.036000	2026-03-06T12:02:27.042000	10	1	0	<LOCAL_WORKSPACE>	can you see why i keep getting spammed by device activation
FEATURE	b3a3851c-ac3a-4555-a257-2c3c89ba515a	2026-03-06T12:20:20.989000	2026-03-06T13:54:06.641000	12	1	0	<LOCAL_WORKSPACE>	whats next
FEATURE	0d915642-69e2-4ab7-ab6b-40abb7040393	2026-03-06T14:05:53.914000	2026-03-06T15:08:28.706000	18	3	0	<LOCAL_WORKSPACE>	look at this if you see pdd change failed, why did it ran pdd sync https://github.com/promptdriven/test_repo_2/issues/73 and also https://github.com/promptdriven/test_repo_2/issues/74 for this it aske
FEATURE	ca9dad7a-bce9-40f6-8545-205eb888dddc	2026-03-06T14:09:25.353000	2026-03-06T14:09:25.353000	1	1	0	<LOCAL_WORKSPACE>/pdd_cloud/extensions/github_pdd_app	can you pull from main for pdd_cloud upstream
FEATURE	12996d83-b6f4-46c6-9855-612b99ebcaa5	2026-03-06T15:26:10.772000	2026-03-06T17:45:45.686000	34	7	0	<LOCAL_WORKSPACE>	lets test on staging
FEATURE	8702ca0f-e633-46d3-8acb-036fe6543dda	2026-03-06T18:00:03.573000	2026-03-06T20:12:13.875000	9	5	0	<LOCAL_WORKSPACE>	i did not like the issue you created, we need to define what we want not how to do stuff, make a comprehesnsive detailed what we want, not what to do, dont guide it
FEATURE	6c971e92-e810-40d6-a563-8fa37e322ba7	2026-03-06T18:06:46.944000	2026-03-06T20:54:54.068000	73	2	0	<LOCAL_WORKSPACE>	https://github.com/promptdriven/pdd_cloud/issues/586 why it failing
FEATURE	7acd6e52-0d8e-4d28-a2c0-40f60631e8ce	2026-03-06T20:45:03.915000	2026-03-06T20:55:44.337000	6	2	0	<LOCAL_WORKSPACE>	can you see if a pdd bug is running in github app, and it needs clarification for example in step 3 what it does, like it stops save state, what i need complete flow as i am desining a new command, i
FEATURE	b493ae63-a942-4b6b-a7ab-e71c22236e1b	2026-03-06T20:57:55.747000	2026-03-07T03:10:31.714000	7	2	0	<LOCAL_WORKSPACE>	wait there might be changes needed to prompts also look at this pr https://github.com/gltanaka/pdd/pull/771/changes#diff-2a02957f81a0d9ea0380dbd7df3b6e38d35595744be7d7a26c609968aa711ecd
FEATURE	92eb48cd-e7d8-43f1-9569-0894cf603d70	2026-03-07T09:22:41.123000	2026-03-07T09:47:33.907000	6	2	0	<LOCAL_WORKSPACE>	https://github.com/gltanaka/pdd/issues/769 look at this issue, dont look at the comments or pr, and explain how to fix it where the fixing should happen, see other agentic commands how they handle
FEATURE	ad90ab7a-5ff7-48b2-9511-00975131156b	2026-03-07T09:22:50.213000	2026-03-07T12:37:27.111000	51	7	0	<LOCAL_WORKSPACE>	do you want to test it in staging if its final
FEATURE	7af61cc1-9d33-402f-9cd7-25809d27de73	2026-03-08T16:11:09.380000	2026-03-09T03:47:56.901000	125	20	0	<LOCAL_WORKSPACE>	explain how pdd bug agentic for github app is made
FEATURE	aef2f3b1-936c-447f-8361-b099ec831c71	2026-03-13T04:51:42.072000	2026-03-13T19:58:54.500000	16	8	0	<LOCAL_WORKSPACE>/pdd_cloud/.pdd/worktrees/change-issue-523	/model
FEATURE	4b188a61-7043-409e-8998-6e721a297739	2026-03-13T04:54:19.229000	2026-03-13T07:16:15.362000	11	9	0	<LOCAL_WORKSPACE>/pdd_cloud/.pdd/worktrees/change-issue-523	go through the all three issues i created on pdd_cloud related to autnomous solving, pdd-issue fully understand it, and create me 4 test iissues in test_repo, related to the repo, one should be a simp
FEATURE	93548a1b-ab5c-4558-842a-c358dd6976ed	2026-03-13T09:25:46.987000	2026-03-13T17:03:20.325000	46	4	0	<LOCAL_WORKSPACE>	Fix issue #659: Respect stop conditions in PDD executor to prevent unwanted PRs look at gltanaka and pdd_cloud i made a pr, but i forgot, there might be multiple ones so i want you to find me the perf
FEATURE	6ca1709f-83e4-4647-9909-e53e9dedb694	2026-03-13T09:26:05.861000	2026-03-13T17:05:00.030000	69	3	0	<LOCAL_WORKSPACE>	Github app - app installed but doesn't show in settings, look at gltanaka and pdd_cloud i made a pr, but i       forgot, there might be multiple ones so i want you to find me the perfect fix one and p
FEATURE	48678aed-b1f1-4538-a0a0-aab708a9c357	2026-03-13T09:26:22.064000	2026-03-13T16:33:25.666000	75	1	0	<LOCAL_WORKSPACE>	"Cloud: purchase in settings dashboard fails with CORS violation / ""Mock API"" interactions (see console log) look at gltanaka and pdd_cloud i made a pr, but i                               forgot, ther"
FEATURE	c9312356-adc0-42ac-8337-f2bb254438de	2026-03-13T19:58:35.204000	2026-03-13T19:58:35.204000	1	4	0	<LOCAL_WORKSPACE>/pdd_cloud/.pdd/worktrees/change-issue-523	/resume
FEATURE	d1c4cf6c-0c16-4c96-a8af-528cd8d9288d	2026-03-13T19:59:14.575000	2026-03-13T19:59:14.575000	1	4	0	<LOCAL_WORKSPACE>/pdd_cloud/.pdd/worktrees/change-issue-523	/resume
FEATURE	9819f27a-c3af-4e96-b1b2-c79d6249fd1a	2026-03-13T19:59:23.168000	2026-03-13T19:59:23.168000	1	4	0	<LOCAL_WORKSPACE>/pdd_cloud/.pdd/worktrees/change-issue-523	/resume
FEATURE	a109c7d4-6728-400d-bc3a-3b4be9ee8232	2026-03-13T20:08:34.250000	2026-03-13T20:38:06.338000	8	1	0	<LOCAL_WORKSPACE>	fix-659-perfect give me link to this pr
FEATURE	eada1eed-7399-4253-8ec1-81093fd7b48e	2026-03-14T13:36:06.288000	2026-03-14T18:24:14.961000	34	5	0	<LOCAL_WORKSPACE>/pdd_cloud/.pdd/worktrees/change-issue-523	https://github.com/promptdriven/test_repo/issues can you rremove all labels from all issues in this repo and close all
FEATURE	f83d6958-2e1c-477f-aed5-da5d294bc2cd	2026-03-14T13:42:30.848000	2026-03-14T14:19:06.252000	8	5	0	<LOCAL_WORKSPACE>	can you tell me how make test-cloud works? does it run real agentic commands or waht
FEATURE	98c477f8-e308-4468-b9d1-eb29db4914b0	2026-03-14T17:04:43.957000	2026-03-14T17:04:53.054000	3	4	0	<LOCAL_WORKSPACE>/pdd_cloud/.pdd/worktrees/change-issue-523	dangerously-skip-permissions
FEATURE	aa202ae5-8533-42cc-b5ea-46258bec3c11	2026-03-14T17:04:46.188000	2026-03-14T17:05:00.616000	3	4	0	<LOCAL_WORKSPACE>/pdd_cloud/.pdd/worktrees/change-issue-523	dangerously-skip-permissions
FEATURE	08f5ac6e-83e0-41da-9b36-f13eec63a79b	2026-03-14T17:04:47.003000	2026-03-14T17:04:47.106000	2	4	0	<LOCAL_WORKSPACE>/pdd_cloud/.pdd/worktrees/change-issue-523	dangerously-skip-permissions
FEATURE	1af3e031-debf-46e3-bb95-ef0f43a744e6	2026-03-15T18:36:24.273000	2026-03-16T12:27:28.708000	54	11	0	<LOCAL_WORKSPACE>/pdd_cloud/.pdd/worktrees/change-issue-523	after this we need to investigate on Gemini-pro run https://github.com/promptdriven/test_repo/issues/340, if you see our pdd-issue choose pdd change and pdd sync for this. while pdd change was running
FEATURE	085f5b51-0a4a-4db1-af54-d91073bb82da	2026-03-16T09:57:29.311000	2026-03-16T18:58:10.736000	138	3	0	<LOCAL_WORKSPACE>	find me good issues i can work on, other than serhan, gltanka or jaiman
FEATURE	f435bcc9-f55e-4c91-879a-48c496aa728c	2026-03-16T10:01:22.530000	2026-03-16T17:39:39.006000	29	6	0	<LOCAL_WORKSPACE>/pdd_cloud/.pdd/worktrees/change-issue-523	get this pr on separate worktree https://github.com/promptdriven/pdd_cloud/pull/712 and rebase it with main, and give me pwd, and do end to end analysis of it, if this is still valid right now for the
FEATURE	ee26c0a2-fba8-4654-8df4-26dc55663eea	2026-03-16T10:58:48.958000	2026-03-16T10:58:48.958000	1	4	0	<LOCAL_WORKSPACE>/pdd_cloud/.pdd/worktrees/change-issue-523	/resume
FEATURE	86ff835f-218e-47a6-9482-3d09720a68db	2026-03-16T20:04:04.404000	2026-03-17T13:14:32.067000	25	1	0	<LOCAL_WORKSPACE>	review this pr and issue with it end to end https://github.com/promptdriven/pdd_cloud/pull/737, and comment on it fully review before it goes for prod
FEATURE	de3a5e41-e4c3-4071-a806-487f98c03007	2026-03-17T10:10:53.020000	2026-03-17T11:35:41.430000	17	4	0	<LOCAL_WORKSPACE>/pdd_cloud/.pdd/worktrees/change-issue-523	can you delete all of my issues on test_repo [Pasted text #1 +47 lines] other than latest 3
FEATURE	edb4dc32-902c-48b9-95a2-1492354bb502	2026-03-17T13:11:33.321000	2026-03-17T13:12:29.923000	3	4	0	<LOCAL_WORKSPACE>/pdd_cloud/.pdd/worktrees/change-issue-523	can you look at this branch we adding a new feature, we completed it now working on making a regression test script that is you run creates 5 issues same everytime, runs Gemini model on them and when
FEATURE	1131900c-4ad1-4dfc-b18f-f784b80c4020	2026-03-17T13:13:58.119000	2026-03-19T14:36:08.753000	243	22	0	<LOCAL_WORKSPACE>/pdd_cloud/.pdd/worktrees/change-issue-523	can you look at this branch we adding a new feature, we completed it now working on making a regression test script that is you run creates 5 issues same everytime, runs Gemini model on them and when
FEATURE	a06d1ad5-528a-4d72-8eb8-a1a5d5377e41	2026-03-17T13:22:36.508000	2026-03-18T17:19:32.362000	71	4	0	<LOCAL_WORKSPACE>/pdd_cloud/.pdd/worktrees/change-issue-523	look at pr for 523 and see how good is its verification part
FEATURE	21d0c2e9-f3f1-429c-8b0a-0dfefa492a19	2026-03-17T14:07:58.015000	2026-03-18T15:45:54.267000	105	6	0	<LOCAL_WORKSPACE>/pdd_cloud/.pdd/worktrees/change-issue-523	can you do one thng make a test on pdd_cloud and same on on test_repo label them pdd-bug and pdd-Gemini-flash i want to see how long does it take for it to run full cycle, and keep monitoring seeing w
FEATURE	7556abd2-5ebb-44bb-ad1a-c4260c41214c	2026-03-17T14:14:18.069000	2026-03-17T14:48:35.646000	7	4	0	<LOCAL_WORKSPACE>/pdd_cloud/.pdd/worktrees/change-issue-523	https://github.com/promptdriven/test_repo/issues/618 see whats happening look at gcloud logs why its not moving forward
FEATURE	4ee35663-547f-4a68-9b39-27a702960d20	2026-03-18T12:10:34.176000	2026-03-18T12:10:34.176000	1	4	0	<LOCAL_WORKSPACE>/pdd_cloud/.pdd/worktrees/change-issue-523	/review https://github.com/promptdriven/pdd_cloud/pull/760
FEATURE	6f20b9cf-39cf-4ee9-b183-4d517fb17fd6	2026-03-18T14:30:53.026000	2026-03-18T17:41:25.944000	55	1	0	<LOCAL_WORKSPACE>	basically whats happening i want you to explore .local keys infiscial, i think infisical and local keys should match, then the secret manager gcp has its own, i feel like, and github app has its own,
FEATURE	bbf3cea3-ee43-4140-8ef3-ddd8b5ed3be7	2026-03-18T15:41:53.188000	2026-03-18T15:52:37.314000	7	4	0	<LOCAL_WORKSPACE>/pdd_cloud/.pdd/worktrees/change-issue-523	i have a setting that should not allow you to push to main, then why did you push directly to main, it should never be allowed
FEATURE	5937b057-7663-47f5-ac4e-4bcda7b0f2dd	2026-03-18T16:30:12.047000	2026-03-18T16:33:32.028000	6	4	0	<LOCAL_WORKSPACE>/pdd_cloud/.pdd/worktrees/change-issue-523	[Pasted text #1 +18 lines] you accidently commited this directly to main, the this approach was rejected, basically it was reverted the Gemini one, but the other all came from one pr right?
FEATURE	fc66d80c-2ead-44d5-abbe-3c6b4a2d75f2	2026-03-18T16:48:01.644000	2026-03-18T16:59:48.221000	4	4	0	<LOCAL_WORKSPACE>/pdd_cloud/.pdd/worktrees/change-issue-523	https://github.com/promptdriven/pdd_cloud/pull/741 can you see if this is rebased with origin main and synced with github
FEATURE	37d21bb2-ec40-4b90-a21d-f01028735787	2026-03-19T09:22:35.942000	2026-03-19T14:58:52.801000	36	12	0	<LOCAL_WORKSPACE>/pdd_cloud/.pdd/worktrees/change-issue-523	we made a new feature pdd-issue its on this branch you can investigate and see how it works fully, now we going to build a regression test for this, i have a script, first fully go through the script,
FEATURE	3652561b-83f9-4543-b67c-763acafc6f0c	2026-03-19T09:37:14.474000	2026-03-19T14:11:18.809000	27	1	0	<LOCAL_WORKSPACE>	so i ran pdd change and pdd sync on this https://github.com/promptdriven/pdd_cloud/issues/754, i want you to look at pdd change pr it created 2 prs for it, and then i ran pdd sync, it failed, investig
FEATURE	82ac32a4-4632-41a4-8f64-e5112a4e8b3a	2026-03-19T10:48:18.128000	2026-03-19T11:07:16.862000	9	4	0	<LOCAL_WORKSPACE>/pdd_cloud/.pdd/worktrees/change-issue-523	i made some issues where prompt needed to be changed, and i made prs, can you find them for me
FEATURE	7d3596cd-b223-46d8-a751-1fe7b3f87d96	2026-03-19T13:30:44.229000	2026-03-19T14:14:36.556000	8	6	0	<LOCAL_WORKSPACE>/pdd_cloud/.pdd/worktrees/change-issue-523	can you review this branch deeply and see if anywhere it divates and breaking existing functionality or making its new stuff, the thing i want is that it make use of existing functionality in upstream
FEATURE	7875b553-08bb-4f48-855a-988a22e8002b	2026-03-19T14:09:00.063000	2026-03-19T14:14:44.925000	2	5	0	<LOCAL_WORKSPACE>/pdd_cloud/.pdd/worktrees/change-issue-523	[Pasted text #1 +5 lines] and also keep in mind what pdd-issue is trying to do, basically we want pdd-issue to be new feature, so we just want to add stuff that is necessary, on top of existing stuff
FEATURE	fcaec6ae-32c0-4ac9-ac73-b370b1f9bfe6	2026-03-19T14:21:54.458000	2026-03-23T16:16:51.815000	119	13	0	<LOCAL_WORKSPACE>/pdd_cloud/.pdd/worktrees/change-issue-523	we trying to build a new feature pdd-issue, i am well into it, now i recently rebadsed it with origin main and synced it with github, i am almost done with it, but i did not check if its align with up
FEATURE	4418f0d8-8e0b-4e47-a4e2-ebb9de1cb4e9	2026-03-19T14:45:43.512000	2026-03-19T14:45:43.512000	1	5	0	<LOCAL_WORKSPACE>/pdd_cloud/.pdd/worktrees/change-issue-523	[Pasted text #1 +5 lines] and also find any issues you think are with pdd-issue
FEATURE	eb213355-e253-4f39-a484-bef67edcd5dd	2026-03-19T14:45:50.343000	2026-03-19T14:45:50.343000	1	4	0	<LOCAL_WORKSPACE>/pdd_cloud/.pdd/worktrees/change-issue-523	[Pasted text #2 +10 lines]
FEATURE	90680561-80a9-4a78-819a-04e832d7ff31	2026-03-19T14:56:50.065000	2026-03-19T14:56:50.065000	1	4	0	<LOCAL_WORKSPACE>/pdd_cloud/.pdd/worktrees/change-issue-523	/resume
FEATURE	e14f2999-9ca8-4542-8d10-7fbad4589cb4	2026-03-19T14:57:00.774000	2026-03-19T14:57:00.774000	1	4	0	<LOCAL_WORKSPACE>/pdd_cloud/.pdd/worktrees/change-issue-523	/resume
FEATURE	a3e3e15b-0408-45af-8e2b-b391a79232bd	2026-03-19T14:57:04.501000	2026-03-19T14:57:04.501000	1	4	0	<LOCAL_WORKSPACE>/pdd_cloud/.pdd/worktrees/change-issue-523	/resume
FEATURE	4edbd3b6-7cf4-4cdb-a2da-428893731528	2026-03-19T14:59:16.605000	2026-03-19T15:07:30.441000	2	4	0	<LOCAL_WORKSPACE>/pdd_cloud/.pdd/worktrees/change-issue-523	[Pasted text #1 +11 lines]
FEATURE	3e42bc70-d136-4862-9511-050dd846a4eb	2026-03-19T14:59:22.091000	2026-03-19T15:07:33.606000	2	4	0	<LOCAL_WORKSPACE>/pdd_cloud/.pdd/worktrees/change-issue-523	[Pasted text #1 +11 lines]
FEATURE	4c04c75f-6a9f-4188-80d5-9db2941752fb	2026-03-19T20:39:20.139000	2026-03-19T20:51:10.628000	3	4	0	<LOCAL_WORKSPACE>/pdd_cloud/.pdd/worktrees/change-issue-523	/review https://github.com/promptdriven/pdd_cloud/pull/765
FEATURE	9a83ba97-909d-4c80-aaaf-df219099f93c	2026-03-21T10:38:36.197000	2026-03-21T10:38:36.197000	1	4	0	<LOCAL_WORKSPACE>/pdd_cloud/.pdd/worktrees/change-issue-523	/resume
FEATURE	2f980bb4-4026-4c24-be55-44e82eb1ec8e	2026-03-23T09:07:13.199000	2026-03-24T14:09:56.376000	68	6	0	<LOCAL_WORKSPACE>/pdd_cloud/.pdd/worktrees/change-issue-523	find me good issues i can work on
FEATURE	71680d94-c9b6-4f81-aa3a-8318956ce947	2026-03-23T09:57:42.273000	2026-03-23T10:12:43.051000	3	4	0	<LOCAL_WORKSPACE>/pdd_cloud/.pdd/worktrees/change-issue-523	can you find all of issues created by me, and see i want you to go through all of them, not the ones on project engineering, i want you to one by one on them, and see if they open and see if they stil
FEATURE	339b344c-c762-4f79-8a8b-35cab58f008e	2026-03-23T10:11:38.827000	2026-03-23T14:38:12.423000	20	4	0	<LOCAL_WORKSPACE>/pdd_cloud/.pdd/worktrees/change-issue-523	https://github.com/promptdriven/pdd_cloud/pull/767 i want you to look at this issue and the pr associated with it, i think there may also be relevant issue feedback, gather all the info and explain
FEATURE	e0852ae6-dec1-4d7b-9359-2967aff5fbd0	2026-03-23T10:17:55.233000	2026-03-23T15:01:12.316000	25	4	0	<LOCAL_WORKSPACE>/pdd_cloud/.pdd/worktrees/change-issue-523	find me the issue and pr realted to infisical keys, like where we have to update keys
FEATURE	c5a08c57-17af-4a64-b4e5-18d07b907e83	2026-03-23T12:41:58.054000	2026-03-23T12:43:46.331000	3	4	0	<LOCAL_WORKSPACE>/pdd_cloud/.pdd/worktrees/change-issue-523	can you check if i am reate limited by github api for comments and fetech
FEATURE	075b9233-05cb-4866-b9db-d11dd401a1fc	2026-03-23T13:42:17.397000	2026-03-23T13:42:17.397000	1	4	0	<LOCAL_WORKSPACE>/pdd_cloud/.pdd/worktrees/change-issue-523	/review  https://github.com/promptdriven/pdd_cloud/pull/767
FEATURE	bcabd0c3-b2ef-4472-b485-2ad872e19519	2026-03-23T15:06:37.019000	2026-03-23T15:11:42.675000	2	4	0	<LOCAL_WORKSPACE>/pdd_cloud/.pdd/worktrees/change-issue-523	/review https://github.com/promptdriven/pdd_cloud/pull/752
FEATURE	2d89752d-77da-402a-a4d3-d7300040a844	2026-03-23T15:07:12.189000	2026-03-24T09:36:20.289000	16	4	0	<LOCAL_WORKSPACE>/pdd_cloud/.pdd/worktrees/change-issue-523	https://github.com/promptdriven/pdd_cloud/pull/752 review this pr and issue associsated with it and see any problems with it, basically fully reivew this pr end to end
FEATURE	0f888484-1505-4318-9168-0433859b13d6	2026-03-23T15:19:59.407000	2026-03-23T15:23:42.441000	4	4	0	<LOCAL_WORKSPACE>/pdd_cloud/.pdd/worktrees/change-issue-523	https://github.com/promptdriven/pdd_cloud/pull/752 review this pr and issue associsated with it and see any problems   with it, basically fully reivew this pr end to end
FEATURE	45106782-7794-4fdf-853f-4869b2292961	2026-03-23T15:20:49.700000	2026-03-24T09:53:18.330000	46	4	0	<LOCAL_WORKSPACE>/pdd_cloud/.pdd/worktrees/change-issue-523	i want you to look at issue gltanaka/pdd#933, and firstly see the issue read it well, go through the issue, and also the        relevant
FEATURE	bd24c566-15da-48fd-99cc-63fa95b7749c	2026-03-23T15:25:18.253000	2026-03-23T15:25:18.253000	1	4	0	<LOCAL_WORKSPACE>/pdd_cloud/.pdd/worktrees/change-issue-523	https://github.com/promptdriven/pdd_cloud/pull/752 review this pr and issue associsated with it and see any problems
FEATURE	ba45973a-e233-4e2c-adc3-839f587db121	2026-03-23T15:54:44.992000	2026-03-23T15:54:44.992000	1	4	0	<LOCAL_WORKSPACE>/pdd_cloud/.pdd/worktrees/change-issue-523	[Pasted text #1 +4 lines] 5b1fb3189
FEATURE	57cb1675-abe7-4035-bafa-fd41bf8b660d	2026-03-23T16:01:51.777000	2026-03-23T16:07:53.793000	2	4	0	<LOCAL_WORKSPACE>/pdd_cloud/.pdd/worktrees/change-issue-523	bd7734e09 commit, [Pasted text #1 +8 lines]
FEATURE	6f99e7d9-f39a-42f9-bb49-a9b162e81f7e	2026-03-23T16:13:11.068000	2026-03-24T12:02:27.514000	62	8	0	<LOCAL_WORKSPACE>/pdd_cloud/.pdd/worktrees/change-issue-523	i am working on a new pdd feature pdd-issue and all the work is in 523 worktree and branch i want you to go through all of it, you can do git diff to know how exactly this feature is made, but i am ha
FEATURE	4880d518-9863-48f5-9bf8-b35994648442	2026-03-23T16:35:11.230000	2026-03-23T16:35:11.230000	1	4	0	<LOCAL_WORKSPACE>/pdd_cloud/.pdd/worktrees/change-issue-523	i want you to look at issue 937 of gltanka, and firstly see the issue read it well, go through the issue, and also the        relevant
FEATURE	7fd56233-62ba-4420-b331-a2b74205907e	2026-03-23T16:35:25.175000	2026-03-23T16:35:25.175000	1	4	0	<LOCAL_WORKSPACE>/pdd_cloud/.pdd/worktrees/change-issue-523	i want you to look at issue 938 of gltanka, and firstly see the issue read it well, go through the issue, and also the        relevant
FEATURE	9ae68116-1052-402a-9440-0e7948485d2e	2026-03-23T18:29:25.540000	2026-03-24T09:36:17.711000	9	4	0	<LOCAL_WORKSPACE>/pdd_cloud/.pdd/worktrees/change-issue-523	review this pr  https://github.com/gltanaka/pdd/pull/941 end to end and also the issue associated with it and comment on it, how good it is, also if anything is hardcoded, is prompt specific to a lang
FEATURE	7d4772d2-81dd-4581-bdfc-e37de7a14878	2026-03-23T20:48:15.192000	2026-03-23T20:48:15.192000	1	5	0	<LOCAL_WORKSPACE>/pdd_cloud/.pdd/worktrees/change-issue-523	can you resolve conflicts of this pr https://github.com/promptdriven/pdd_cloud/pull/524 also preger main over pr, but let me know if there is something we actually we want to replace our original
FEATURE	9280e63c-3162-45be-8559-cf55ade75706	2026-03-24T11:11:25.764000	2026-03-24T11:17:31.076000	2	5	0	<LOCAL_WORKSPACE>/pdd_cloud/.pdd/worktrees/change-issue-523	/pr-comments https://github.com/promptdriven/pdd_cloud/pull/524
FEATURE	a23e3c66-29f2-4e01-9a9f-858257dc193c	2026-03-24T11:11:43.517000	2026-03-24T11:27:11.565000	3	6	0	<LOCAL_WORKSPACE>/pdd_cloud/.pdd/worktrees/change-issue-523	https://github.com/promptdriven/pdd_cloud/pull/524 this pr is failing github checks help me with that
FEATURE	2e867b4d-8407-4194-a478-ed5bcb0ae1fd	2026-03-24T11:48:27.523000	2026-03-24T13:00:32.088000	5	6	0	<LOCAL_WORKSPACE>/pdd_cloud/.pdd/worktrees/change-issue-523	https://github.com/promptdriven/pdd_cloud/pull/524 fully review this pr end to end, and see if any incosistances with main upstream, anything wrong, missing, this pr adds a new feature autonomous solv
FEATURE	e42e65c5-9f4e-458a-b179-68b2312eed9f	2026-03-24T13:25:28.421000	2026-03-24T13:41:03.757000	6	4	0	<LOCAL_WORKSPACE>/pdd_cloud/.pdd/worktrees/change-issue-523	https://github.com/gltanaka/pdd/pull/926 review this pr end to end and see the issue associated with it, fully review it and also see why this pr should not be merged
